序号,实词,释义与经典例句
15,方,①方形 石苍黑色，多平方，少圜 《登泰山记》；方宅十余亩，草屋八九间 《归园田居》②方圆，周围 今齐地方千里，百二十城 《邹忌讽齐王纳谏》；太行、王屋二山，方七百里，高万仞 《愚公移山》③正，正在 方欲行，转视积薪后，一狼洞其中 《狼》；今方来，吾欲辱之，何以也 《橘逾淮为枳》④方法，办法 以咨诹善道，察纳雅言 《出师表》；行军用兵之道 《出师表》
16,负,①背，以背载物 至于负者歌于途，行者休于树 《醉翁亭记》；负箧曳屣，行深山巨谷中 《送东阳马生序》②覆盖 苍山负雪，明烛天南 《登泰山记》；枝枝相覆盖，叶叶相交通 《孔雀东南飞》③辜负，对不起 恐托付不效，以伤先帝之明 《出师表》；负势竞上，互相轩邈 《与朱元思书》
17,赋,①征收，敛取 岁赋其二 《捕蛇者说》；更若役，复若赋，则何如？ 《捕蛇者说》②赋税 孰知赋敛之毒有甚是蛇者乎！ 《捕蛇者说》；薄赋敛，广畜积 《论贵粟疏》③一种文体 刻唐贤今人诗赋于其上 《岳阳楼记》；为一说，使与书俱 《黄生借书说》
18,更,①交替，轮换 乡里皆谓已死，更相庆 《周处》；更若役，复若赋，则何如？ 《捕蛇者说》②更加，愈加 予独爱莲之出淤泥而不染，濯清涟而不妖 《爱莲说》；更有痴似相公者 《湖心亭看雪》③再，又 室中更无人，惟有乳下孙 《石壕吏》；更上一层楼 《登鹳雀楼》
19,故,①旧，原来的 温故而知新，可以为师矣 《论语》；而两狼之并驱如故 《狼》②原因，缘故 扶苏以数谏故，上使外将兵 《陈涉世家》；既克，公问其故 《曹刿论战》③所以，因此 故克之 《曹刿论战》；故有所览辄省记 《黄生借书说》；故为之说，以俟夫观人风者得焉 《捕蛇者说》；故临崩寄臣以大事也 《出师表》
20,顾,①回头看，看 顾野有麦场，场主积薪其中 《狼》；元方入门不顾 《陈太丘与友期行》；三顾臣于草庐之中 《出师表》②拜访，探望 三顾臣于草庐之中 《出师表》；将军宜枉驾顾之 《隆中对》③关心，照顾 三岁贯女，莫我肯顾 《诗经・硕鼠》；子布、元表诸人各顾妻子 《赤壁之战》
21,观,①看，观看 启窗而观，雕栏相望焉 《核舟记》；由此观之，王之蔽甚矣 《邹忌讽齐王纳谏》；予观夫巴陵胜状，在洞庭一湖 《岳阳楼记》；今以蒋氏观之，犹信 《捕蛇者说》②观赏 可远观而不可亵玩焉 《爱莲说》；此则岳阳楼之大观也 《岳阳楼记》③考察，观察 以俟夫观人风者得焉 《捕蛇者说》；观古今之成败 《过秦论》④景象，景观 此则岳阳楼之大观也 《岳阳楼记》；而世之奇伟、瑰怪、非常之观，常在于险远 《游褒禅山记》
22,归,①返回，回去 一屠晚归，担中肉尽，止有剩骨 《狼》；太守归而宾客从也 《醉翁亭记》；而其归书也必速 《黄生借书说》②归还 郑人买其椟而还其珠 《中国古代寓言四则》；归璧于赵 《廉颇蔺相如列传》③归依，归附 微斯人，吾谁与归？ 《岳阳楼记》；众士慕仰，若水之归海 《赤壁之战》
23,号,①号令，命令 号令召三老、豪杰与皆来会计事 《陈涉世家》；乃令符离人葛婴将兵徇蕲以东 《陈涉世家》②称号，别号 陈涉乃立为王，号为张楚 《陈涉世家》；故自号曰醉翁也 《醉翁亭记》③大声喊叫 八月秋高风怒号，卷我屋上三重茅 《茅屋为秋风所破歌》；号呼而转徙，饥渴而顿踣 《捕蛇者说》
24,好,①美好，良好 好鸟相鸣，嘤嘤成韵 《与朱元思书》；则有去国怀乡，忧谗畏讥，满目萧然，感极而悲者矣 《岳阳楼记》②友好，和睦 与亮情好日密 《隆中对》；秦王使使者告赵王，欲与王为好 《廉颇蔺相如列传》③喜爱，爱好 余幼好书，家贫难致 《黄生借书说》；好读书，不求甚解 《五柳先生传》
25,会,①会合，聚会 号令召三老、豪杰与皆来会计事 《陈涉世家》；迁客骚人，多会于此 《岳阳楼记》②盟会，宴会 会宾客大宴，于厅事之东北角，施八尺屏障 《口技（林嗣环）》③正好，恰巧 会天大雨，道不通，度已失期 《陈涉世家》；会宾客大宴 《口技（林嗣环）》
26,惠,①恩惠，好处 小惠未遍，民弗从也 《曹刿论战》；大王加惠，以大易小，甚善 《公输》②同 “慧”，聪明 甚矣，汝之不惠 《愚公移山》；才美不外见，且欲与常马等不可得，安求其能千里也 《马说》
27,及,①到，至 及郡下，诣太守，说如此 《桃花源记》；及既上，苍山负雪，明烛天南 《登泰山记》②比得上，赶得上 君美甚，徐公何能及君也 《邹忌讽齐王纳谏》；不及汪伦送我情 《赠汪伦》③和，与 若有作奸犯科及为忠善者 《出师表》；吾与汝毕力平险，指通豫南，达于汉阴，可乎？ 《愚公移山》
28,极,①尽头，极点，穷尽 此乐何极！ 《岳阳楼记》；然则北通巫峡，南极潇湘 《岳阳楼记》；通计一舟，为人五；为窗八；为箬篷，为楫，为炉，为壶，为手卷，为念珠各一 《核舟记》②到极点，最 感极而悲者矣 《岳阳楼记》；初极狭，才通人 《桃花源记》；极天云一线异色，须臾成五采 《登泰山记》③非常，极其 初极狭，才通人 《桃花源记》；极天云一线异色 《登泰山记》
29,计,①计算，计量 通计一舟，为人五；为窗八 《核舟记》；而计其长，曾不盈寸 《核舟记》②谋划，打算 今亡亦死，举大计亦死，等死，死国可乎？ 《陈涉世家》；虎因喜，计之曰：“技止此耳！” 《黔之驴》③计谋，诡计，策略 见使于一鼠，堕此虫之计中 《黠鼠赋》；三十六计，走为上计 《孙子兵法》
30,济,①有利，有益 读书以过目成诵为能，最是不济事 《潍县署中寄舍弟墨第一书》②渡过，渡 长风破浪会有时，直挂云帆济沧海 《行路难》；济河焚舟 《左传》③成就，成功 若事之不济，此乃天也 《赤壁之战》；大济苍生 《晋书・谢安传》
31,加,①增加（虚夸，以少报多） 牺牲玉帛，弗敢加也，必以信 《曹刿论战》②增加，增益 而山不加增，何苦而不平？ 《愚公移山》；万钟于我何加焉！ 《鱼我所欲也》③施加，给予 大王加惠，以大易小，甚善 《公输》；加冠，益慕圣贤之道 《送东阳马生序》
32,假,①借 非夫人之物而强假焉 《黄生借书说》；以是人多以书假余，余因得遍观群书 《送东阳马生序》②假，与 “真” 相对（假装） 乃悟前狼假寐，盖以诱敌 《狼》；狐假虎威 《中国古代寓言四则》③凭借，借助 君子生非异也，善假于物也 《劝学》；假舆马者，非利足也，而致千里 《劝学》
33,间,①中间，期间 水声潺潺而泻出于两峰之间者，酿泉也 《醉翁亭记》；颓然乎其间者，太守醉也 《醉翁亭记》；奉命于危难之间 《出师表》②间或，偶尔 数月之后，时时而间进 《邹忌讽齐王纳谏》；间以诗记所遭 《指南录后序》③参与 肉食者谋之，又何间焉？ 《曹刿论战》；中间力拉崩倒之声，火爆声，呼呼风声，百千齐作 《口技（林嗣环）》④暗地里 又间令吴广之次所旁丛祠中，夜篝火，狐鸣呼曰 《陈涉世家》；侯生乃屏人间语曰 《信陵君窃符救赵》⑤夹杂 中间力拉崩倒之声 《口技（林嗣环）》
34,简,①挑选，选拔 是以先帝简拔以遗陛下 《出师表》；盖简桃核修狭者为之 《核舟记》②简单，简略 其责己也重以周，其待人也轻以约 《原毁》；居简而行简，无乃大简乎？ 《论语》③同 “拣”，挑选 简能而任之，择善而从之 《谏太宗十思疏》
35,见,①看见，看到 于舅家见之，十二三矣 《伤仲永》；平原不在，正见清河 《周处》；见其发矢十中八九，但微颔之 《卖油翁》；斗折蛇行，明灭可见 《小石潭记》；虎见之，庞然大物也，以为神 《黔之驴》；见渔人，乃大惊，问所从来 《桃花源记》②拜见，遇见 曹刿请见 《曹刿论战》；于是入朝见威王 《邹忌讽齐王纳谏》；见公输盘 《公输》；徐庶见先主，先主器之 《隆中对》③同 “现”，出现，显现 图穷而匕首见 《荆轲刺秦王》；才美不外见 《马说》；何时眼前突兀见此屋 《茅屋为秋风所破歌》④了解，知道 见往事耳 《孙权劝学》；大兄何见事之晚乎！ 《孙权劝学》
36,尽,①完，没有了 一屠晚归，担中肉尽，止有剩骨 《狼》；骨已尽矣，而两狼之并驱如故 《狼》；以尽吾齿 《捕蛇者说》②全部，都 触草木，尽死 《捕蛇者说》；其远古刻尽漫失 《登泰山记》；至于斟酌损益，进尽忠言 《出师表》；尽信书，则不如无书 《孔孟论学》③穷尽，竭尽 殚其地之出，竭其庐之入 《捕蛇者说》；一鼓作气，再而衰，三而竭 《曹刿论战》；进尽忠言 《出师表》④过完，度过 以尽吾齿 《捕蛇者说》；聊乘化以归尽，乐夫天命复奚疑！ 《归去来兮辞》
37,进,①前进，与 “退” 相对 譬如平地，虽覆一篑，进，吾往也 《孔孟论学》；是进亦忧，退亦忧 《岳阳楼记》；船进，敌船益近 《冯婉贞》②进献，奉献 令初下，群臣进谏，门庭若市 《邹忌讽齐王纳谏》；进尽忠言 《出师表》；是进亦忧，退亦忧 《岳阳楼记》③做官，出仕 是进亦忧，退亦忧 《岳阳楼记》；进不入以离尤兮，退将复修吾初服 《离骚》
38,居,①停留，止息 以其境过清，不可久居，乃记之而去 《小石潭记》；而半山居雾若带然 《登泰山记》②居住，安居 自吾氏三世居是乡，积于今六十岁矣 《捕蛇者说》；曩与吾祖居者，今其室十无一焉 《捕蛇者说》；居庙堂之高，则忧其民 《岳阳楼记》③处在，处于（某种地位或某个地方） 佛印居右，鲁直居左 《核舟记》；居右者椎髻仰面，左手倚一衡木 《核舟记》；居庙堂之高，则忧其民；处江湖之远，则忧其君 《岳阳楼记》④经过，过了 居数月，其马将胡骏马而归 《塞翁失马》；居十日，扁鹊复见 《扁鹊见蔡桓公》
39,举,①举起，抬起 举头望明月，低头思故乡 《静夜思》；举大计亦死 《陈涉世家》②发动，兴起 今亡亦死，举大计亦死，等死，死国可乎？ 《陈涉世家》；举兵伐楚 《史记》③成就，成功 且壮士不死即已，死即举大名耳 《陈涉世家》；莫等闲，白了少年头，空悲切 《满江红》④选拔，推举 是以众议举宠为督 《出师表》；举孝廉不行，连辟公府不就 《张衡传》⑤全，整个 举国上下 《成语》；举家庆贺 《聊斋志异》
40,具,①具备，具有 罔不因势象形，各具情态 《核舟记》；此人一一为具言所闻，皆叹惋 《桃花源记》②详细，详尽 此人一一为具言所闻 《桃花源记》；具答之 《桃花源记》③器具，工具 仲永生五年，未尝识书具 《伤仲永》；每假借于藏书之家，手自笔录，计日以还 《送东阳马生序》④准备，备办 成妻具资诣问 《促织》；具告以事 《鸿门宴》
41,俱,①全，都 宫中府中，俱为一体，陟罚臧否，不宜异同 《出师表》；为一说，使与书俱 《黄生借书说》；百废具兴 《岳阳楼记》②一起，一同 虽与之俱学，弗若之矣 《孔孟论学》；俱往矣，数风流人物，还看今朝 《沁园春・雪》
42,遽,①立即，立刻 是方啮也，而遽死也 《黠鼠赋》；其父虽善游，其子岂遽善游哉？ 《中国古代寓言四则》②就，竟 使遂蚤得处囊中，乃颖脱而出，非特其末见而已 《毛遂自荐》；遽契其舟 《吕氏春秋两则》
43,决,①决断，判定 孔子不能决也 《两小儿辩日》；吾不能举全吴之地，十万之众，受制于人 《赤壁之战》②决定，确定 计未定，求人可使报秦者 《廉颇蔺相如列传》；愿陛下托臣以讨贼兴复之效，不效，则治臣之罪 《出师表》③解决，了结 以啮人，无御之者 《捕蛇者说》；吾与汝毕力平险，指通豫南，达于汉阴，可乎？ 《愚公移山》
44,类,①类推，类比 谓知类 《公输》；义不杀少而杀众，不可谓知类 《公输》②种类，类别 有良田、美池、桑竹之属 《桃花源记》；忠之属也 《曹刿论战》；物以类聚，人以群分 《周易》③类似，像 神情与苏、黄不属 《核舟记》；有类橐驼者，故乡人号之 “驼” 《种树郭橐驼传》
45,临,①靠近，对着 有亭翼然临于泉上者，醉翁亭也 《醉翁亭记》；临溪而渔，溪深而鱼肥 《醉翁亭记》；把酒临风，其喜洋洋者矣 《岳阳楼记》②到，到达 临表涕零，不知所言 《出师表》；今当远离，临表涕零 《出师表》③正当，将要，就要 临崩寄臣以大事也 《出师表》；临战，先主召亮于成都 《三国志》④面对，对着 临危不惧 《成语》；临渊羡鱼，不如退而结网 《汉书》
46,虑,①思虑，思想，心思 困于心，衡于虑，而后作 《生于忧患，死于安乐》；此皆良实，志虑忠纯，是以先帝简拔以遗陛下 《出师表》②担心，顾虑 必虑人逼取，而惴惴焉摩玩之不已 《黄生借书说》；人无远虑，必有近忧 《论语》③考虑，谋划 智者千虑，必有一失；愚者千虑，必有一得 《史记》；陛下亦宜自谋，以咨诹善道，察纳雅言 《出师表》
47,论,①议论，谈论 先帝在时，每与臣论此事，未尝不叹息痛恨于桓、灵也 《出师表》；曹刿论战 《左传》②评定，判定 宜付有司论其刑赏 《出师表》；论功行赏 《史记》③学说，主张 亦将夺于公论而无以立矣 《答司马谏议书》；余不佞，独持迂论 《治水必躬亲》④说，讲 问说 《刘开》；论天下事势，致殷勤之意 《赤壁之战》
48,漫,①满，弥漫 亭东自足下皆云漫 《登泰山记》；漫卷诗书喜欲狂 《闻官军收河南河北》②模糊，不可辨认 其远古刻尽漫失 《登泰山记》；碑上漫灭，独其为文犹可识 《游褒禅山记》③随意，随便 漫不经心 《成语》；漫卷诗书喜欲狂 《闻官军收河南河北》
49,灭,①熄灭 火燃焱而不灭，水浩洋而不息 《中国古代神话三则》；斗折蛇行，明灭可见 《小石潭记》②暗，看不见 斗折蛇行，明灭可见 《小石潭记》；日星隐曜，山岳潜形 《岳阳楼记》③消灭，灭亡 秦灭六国，统一天下 《史记》；灭六国者，六国也，非秦也 《阿房宫赋》
50,明,①明亮，光明 晦明变化者，山间之朝暮也 《醉翁亭记》；苍山负雪，明烛天南 《登泰山记》；庭下如积水空明，水中藻、荇交横，盖竹柏影也 《记承天夜游》②明确，清楚 名实已明，而天下之理得矣 《答司马谏议书》；以昭陛下平明之理 《出师表》③严明，英明 恐托付不效，以伤先帝之明 《出师表》；明君制民之产，必使仰足以事父母，俯足以畜妻子 《孟子》④视力，目力 左丘失明，厥有《国语》 《报任安书》；明足以察秋毫之末，而不见舆薪 《孟子》
51,名,①名字，名称 即书诗四句，并自为其名 《伤仲永》；其船背稍夷，则题名其上 《核舟记》；名之者谁？太守自谓也 《醉翁亭记》②命名，取名 名之者谁？太守自谓也 《醉翁亭记》；以故其后名之曰 “褒禅” 《游褒禅山记》③名声，名望 周处年少时，凶强侠气，为乡里所患；又义兴水中有蛟，山中有白额虎，并皆暴犯百姓。义兴人谓为三横，而处尤剧 《周处》；举大名耳 《陈涉世家》④有名，著名 山不在高，有仙则名 《陋室铭》；水不在深，有龙则灵 《陋室铭》
52,命,①命令，号令 徒属皆曰：“敬受命。” 《陈涉世家》；奉命于危难之间 《出师表》；受命以来，夙夜忧叹 《出师表》；夫子何命焉为？ 《公输》②生命，性命 苟全性命于乱世，不求闻达于诸侯 《出师表》；吾闻二世少子也，不当立 《陈涉世家》③规律，法则 五十而知天命 《论语》；天命有常，不为尧存，不为桀亡 《荀子》④命名，取名 名之者谁？太守自谓也 《醉翁亭记》；以故其后名之曰 “褒禅” 《游褒禅山记》
53,谋,①谋划，商量 肉食者谋之，又何间焉？ 《曹刿论战》；陈胜、吴广乃谋曰：“今亡亦死，举大计亦死，等死，死国可乎？” 《陈涉世家》②计谋，计策 深谋远虑，行军用兵之道 《出师表》；陛下亦宜自谋，以咨诹善道，察纳雅言 《出师表》③图谋，谋求 不敢加兵谋魏十余年 《信陵君窃符救赵》；谋闭而不兴，盗窃乱贼而不作 《礼记・礼运》
54,难,①不容易，困难 夫大国，难测也，惧有伏焉 《曹刿论战》；余幼好书，家贫难致 《黄生借书说》；蜀道之难，难于上青天 《蜀道难》②灾难 奉命于危难之间 《出师表》；天下兴亡，匹夫有责 《日知录》③反驳，驳诘，诘问 所谓交相问难，审问而明辨之也 《问说》；余不佞，独持迂论，难与足下遽定也 《答司马谏议书》
55,平,①平坦 土地平旷，屋舍俨然 《桃花源记》；石苍黑色，多平方，少圜 《登泰山记》；皆平顶 《登泰山记》②填平，铲平 譬如平地，虽覆一篑，进，吾往也 《孔孟论学》；吾与汝毕力平险，指通豫南，达于汉阴，可乎？ 《愚公移山》③公平，公正 以昭陛下平明之理 《出师表》；不平心持正，反欲斗两主，观祸败 《苏武传》④平定，安定 今南方已定，兵甲已足 《出师表》；北定中原，庶竭驽钝 《出师表》
56,戚,①悲伤，忧愁 蒋氏大戚，汪然出涕曰 《捕蛇者说》；君子坦荡荡，小人长戚戚 《论语》②亲属，指族外 寡助之至，亲戚畔之 《天时不如地利》；臣所以去亲戚而事君者，徒慕君之高义也 《廉颇蔺相如列传》
57,启,①打开，开启 启窗而观，雕栏相望焉 《核舟记》；启门而入 《聊斋志异》②启发，启示 不愤不启，不悱不发 《论语》；启予足，启予手 《论语》③开始，开创 启新程，开新局 《成语》；自可断来信，徐徐更谓之 《孔雀东南飞》
58,强,①强悍，强大，坚强 凶强侠气，为乡里所患 《周处》；秦强而赵弱，不可不许 《廉颇蔺相如列传》②（qiǎng）勉强，硬要 非夫人之物而强假焉 《黄生借书说》；强饮三大白而别 《湖心亭看雪》③有余，略多 赏赐百千强 《木兰诗》；策勋十二转，赏赐百千强 《木兰诗》
59,窃,①偷取 有蛮隶窃其橐装以逃，获于新州 《巢谷传》；鼠，子神也，善窃 《黠鼠赋》②偷偷地，暗地里 窃以为与君实游处相好之日久 《答司马谏议书》；窃爱怜之 《触龙说赵太后》③谦辞，私自，私下 窃以为陛下亦宜自谋 《出师表》；窃为大王不取也 《鸿门宴》
60,请,①请求，要求 公输盘曰：“夫子何命焉为？” 子墨子曰：“北方有侮臣者，愿借子杀之。” 公输盘不说。子墨子曰：“请献十金。” 《公输》；曹刿请见 《曹刿论战》②请你做某事 请说之 《公输》；请以剑舞 《鸿门宴》③谒见，拜访 其造请诸公，不避寒暑 《张衡传》；公子往，数请之，朱亥故不复谢 《信陵君窃符救赵》
61,穷,①穷尽，完结 四时之景不同，而乐亦无穷也 《醉翁亭记》；复前行，欲穷其林 《桃花源记》；穷予生之光阴以疗梅也哉 《病梅馆记》②走到尽头，走完 复前行，欲穷其林 《桃花源记》；穷山之高而止 《始得西山宴游记》③不得志，不显贵 穷则独善其身，达则兼善天下 《孟子》；穷且益坚，不坠青云之志 《滕王阁序》④贫困，贫穷 为宫室之美、妻妾之奉、所识穷乏者得我与？ 《鱼我所欲也》；家贫，无从致书以观 《送东阳马生序》
62,求,①寻找，寻求 舟止，从其所契者入水求之 《吕氏春秋两则》；予尝求古仁人之心，或异二者之为，何哉？ 《岳阳楼记》；求二石兽于水中，竟不可得 《河中石兽》②索取，要求，需求 忽啼求之 《伤仲永》；客之美我者，欲有求于我也 《邹忌讽齐王纳谏》；以中有足乐者，不知口体之奉不若人也 《送东阳马生序》③请求，乞求 秦昭王闻之，使人遗赵王书，愿以十五城请易璧 《廉颇蔺相如列传》；请献十金 《公输》④追求，谋求 不求闻达于诸侯 《出师表》；君子求诸己，小人求诸人 《论语》
63,取,①拿 乃取一葫芦置于地，以钱覆其口，徐以杓酌油沥之，自钱孔入，而钱不湿 《卖油翁》；圣人非所与熙也，寡人反取病焉！ 《橘逾淮为枳》②获得，讨取（招致） 圣人非所与熙也，寡人反取病焉！ 《橘逾淮为枳》；伐竹取道，下见小潭，水尤清冽 《小石潭记》③开辟 伐竹取道，下见小潭，水尤清冽 《小石潭记》④选取，采用 吾于武成，取二三策而已矣 《孔孟论学》；二者不可得兼，舍鱼而取熊掌者也 《鱼我所欲也》
64,去,①离开 睨之，久而不去 《卖油翁》；乃记之而去 《小石潭记》；尽其肉，乃去 《黔之驴》；一狼径去，其一犬坐于前 《狼》；则有去国怀乡，忧谗畏讥，满目萧然，感极而悲者矣 《岳阳楼记》②距离 西蜀之去南海，不知几千里也 《为学》；去村四里有森林，阴翳蔽日，伏焉 《冯婉贞》③除掉，去掉 去死肌，杀三虫 《捕蛇者说》；除残去秽 《赤壁之战》④过去的 我从去年辞帝京，谪居卧病浔阳城 《琵琶行》；去年今日此门中，人面桃花相映红 《题都城南庄》
65,全,①整个，全部 全石以为底，近岸，卷石底以出 《小石潭记》；宫中府中，俱为一体，陟罚臧否，不宜异同 《出师表》②保全，使完整 苟全性命于乱世，不求闻达于诸侯 《出师表》；全躯保妻子之臣，随而媒孽其短 《报任安书》③完全，都 全无心肝 《成语》；全不察乎？ 《答司马谏议书》
66,任,①责任，职责 进尽忠言，则攸之、祎、允之任也 《出师表》；受任于败军之际，奉命于危难之间 《出师表》②委任，任用 是以众议举宠为督 《出师表》；简能而任之，择善而从之 《谏太宗十思疏》③任凭，听凭 一任群芳妒 《卜算子・咏梅》；任重而道远 《论语》④能力，才能 无任区区向往之至 《答司马谏议书》；王甚任之 《屈原列传》
67,入,①进入，与 “出” 相对 乃入吴寻二陆 《周处》；虎见之，庞然大物也，以为神，蔽林间窥之 《黔之驴》；故五月渡泸，深入不毛 《出师表》；余始循以入，道少半，越中岭，复循西谷，遂至其巅 《登泰山记》；乃入据陈 《陈涉世家》②跳入 周处年少时，凶强侠气，为乡里所患；又义兴水中有蛟，山中有白额虎，并皆暴犯百姓。义兴人谓为三横，而处尤剧。或说处杀虎斩蛟，实冀三横唯余其一。处即刺杀虎，又入水击蛟。蛟或浮或没，行数十里，处与之俱。经三日三夜，乡里皆谓已死，更相庆。竟杀蛟而出，闻里人相庆，始知为人情所患，有自改意 《周处》③注入 以钱覆其口，徐以杓酌油沥之，自钱孔入，而钱不湿 《卖油翁》④进宫廷 曹刿请见 《曹刿论战》；于是入朝见威王 《邹忌讽齐王纳谏》⑤射进 月色入户，欣然起行 《记承天夜游》⑥缴纳 募有能捕之者，当其租入 《捕蛇者说》
68,善,①好，好的，善良的 若有作奸犯科及为忠善者，宜付有司论其刑赏 《出师表》；择其善者而从之，其不善者而改之 《论语》②友好，亲善 有韩仔玉者，无与乙善 《果合传》；楚左尹项伯者，项羽季父也，素善留侯张良 《鸿门宴》③擅长，善于 王视晏子曰：“齐人固善盗乎？” 《橘逾淮为枳》；陈康肃公尧咨善射，当世无双 《卖油翁》；弈秋，通国之善弈者也 《孔孟论学》；京中有善口技者 《口技（林嗣环）》④应答之词，好 王曰：“善。” 《邹忌讽齐王纳谏》；先主曰：“善！” 于是与亮情好日密 《隆中对》
69,少,①数量少，不多 义不杀少而杀众，不可谓知类 《公输》；饮少辄醉，而年又最高 《醉翁亭记》；山多石，少土 《登泰山记》；少杂树，多松，生石罅，皆平顶 《登泰山记》②一会儿，不多时 少顷，但闻屏障中抚尺一下，满坐寂然，无敢哗者 《口技（林嗣环）》；少时，一狼径去，其一犬坐于前 《狼》③缺少，不足 但少闲人如吾两人者耳 《记承天夜游》；遥知兄弟登高处，遍插茱萸少一人 《九月九日忆山东兄弟》④年轻，年少 周处年少时，凶强侠气，为乡里所患 《周处》；而少时之岁月为可惜也 《黄生借书说》；陈涉少时，尝与人佣耕 《陈涉世家》；吾闻二世少子也，不当立 《陈涉世家》⑤稍微，略微 宾客意少舒，稍稍正坐 《口技（林嗣环）》；少焉，月出于东山之上，徘徊于斗牛之间 《赤壁赋》
